r-i,i-z
1.00216,-0.09849
1.41456,0.00648
-0.07982,0.01525
0.99266,-0.10081
3.06449,0.25087
0.06461,0.08672
-1.60194,0.33864
-0.03131,0.06173
-0.02365,-0.05836
-0.1098,-0.0101
-0.10988,-0.05901
-2.10993,1.01303
-1.07911,0.87144
-0.88935,-0.01728
-0.63624,0.16032
-0.36458,0.30815
0.88984,0.08261
0.78246,0.23971
0.29261,0.66284
0.28565,0.16341
1.56685,0.07865
0.02118,0.02029
0.19867,0.01023
-0.34314,0.19384
0.11111,-0.02202
0.9205,0.2756
-0.15834,-0.20258
0.2964,0.07102
1.64962,-0.22089
-0.62156,-0.12201
-0.81914,0.02201
-0.37467,0.08353
-1.01816,0.18465
1.029,0.14373
0.13915,0.23861
1.52057,0.06085
0.05813,-0.15123
-0.42498,-0.06068
0.95261,0.06402
-1.11425,0.19343
0.22426,0.70018
-0.10286,-0.28772
0.45768,0.02398
0.78019,-0.03147
-0.00389,0.03715
1.18014,0.05532
0.12391,-0.04008
1.31612,0.13036
4.73643,-0.07893
0.44938,-0.09639
0.0174,-0.09873