Redshift (z),Red filter (r)
1.59192,20.86304
1.0273,21.20271
0.6263728,21.07035
1.167785,21.08441
2.101863,20.93488
1.179272,20.58352
1.98603,20.78307
1.469086,21.09542
1.152426,20.16069
1.148162,20.76863
1.66848,20.42905
0.6585992,20.98092
1.499221,21.29927
1.437759,20.97454
1.435789,21.22849
1.776134,21.01892
1.764663,21.20546
0.9972191,20.76523
1.615922,20.765
1.23769,20.18424
1.401302,21.05363
1.294168,20.41933
1.507491,20.76558
0.04219011,21.0349
1.042729,20.40871
1.418758,20.95749
1.491253,20.90412
0.5885561,21.16509
1.252313,20.8607
1.779953,20.9336
0.7506666,21.03794
2.053961,20.70581
1.092166,20.43928
1.138685,21.31554
1.638497,21.12871
1.753874,20.70613
1.673966,20.78765
1.861678,21.30828
2.047925,20.6484
0.8648227,20.75379
0.856479,20.41933
1.713332,20.86572
0.9813636,20.94465
1.711685,20.25041
1.81767,21.31679
0.8894568,21.37757
1.977872,21.16325
1.345933,20.26182
0.9918147,20.69948
2.080534,20.88968
1.226706,21.25563
0.9448597,20.38733
2.062081,20.7515
1.783078,21.09382
1.66094,20.86397
1.457763,20.76464
1.227365,20.7894
0.8559721,21.03241
1.453307,20.9608
0.8340261,20.89931
1.248252,21.13596
1.247966,20.32366
2.064778,20.87979
1.632871,21.21065
1.002181,20.98722
1.452335,20.85708
2.133883,21.01873
1.532299,21.07511
1.842991,21.20535
0.2589082,21.05932
1.376177,20.70627
1.602497,21.14617
1.573155,20.68785
0.8089317,20.83639
2.061254,20.42253
0.915439,20.91139
2.468344,20.82838
1.191513,20.76577
1.229585,20.25836
1.248071,20.35967
0.7785115,20.43173
1.076614,20.91308
0.5077316,20.54491
1.541633,20.41129
1.697476,21.01152
1.476781,21.04742
1.235395,20.49541
0.483712,21.13957
0.5002047,21.11424
0.8528438,21.13799
1.484802,20.95574
0.8703824,20.75501
1.460012,20.68204
0.7181167,20.44359
1.175324,21.07971
1.644765,21.12407
1.300024,20.21466
1.076241,20.94328
1.09372,20.26022
3.175849,20.79007
1.2415,20.42839
1.77435,20.64145
1.538366,20.92283
0.8132163,20.84137
1.05411,20.30348
1.269506,20.50485
1.088718,19.99481
1.428095,20.14934
1.384543,21.03182
0.6872155,20.69743
1.838014,21.1682
1.464009,20.38176
1.793064,20.84094
1.07706,21.06663
1.643698,21.08271
1.388855,20.69309
1.056022,20.21922
0.878978,21.22938
1.592797,21.23554
0.7986733,20.90721
0.8194873,21.14044
1.301837,21.10352
1.475766,20.81912
1.553802,20.46659
1.262388,20.77767
1.800768,21.11987
1.025571,20.97598
1.546098,20.94851
1.604294,21.0951
1.004256,20.81989
1.504087,21.11234
2.131818,20.62339
1.547381,20.37898
0.4476112,21.15802
1.338773,20.76212
1.64433,21.10837
6.302482,21.71014
2.045186,21.03507
1.785791,20.51841
1.25633,20.18491
0.8465625,20.81999
0.7102464,21.60931
0.5791984,21.33758
1.195552,21.06955
1.477235,20.76814
0.7261031,20.75682
0.5936427,20.71381
1.922148,21.22382
0.9607188,20.82527
1.366579,20.55925
1.340466,20.33313
1.510507,20.54471
0.9190194,21.02735
0.8487142,20.62429
1.430273,20.82956
2.102756,21.17387
1.653166,21.18591
1.794413,20.68093
1.384547,20.49439
1.137416,20.3558
0.9539593,20.6322
1.424668,21.28596
1.623977,21.34236
0.9250144,20.35872
1.181786,20.89491
0.8707353,20.3859
1.423976,20.96504
1.340341,21.0091
1.34973,20.35188
1.329128,20.75254
1.696807,20.79887
0.9312298,20.7917
0.9991885,21.13997
1.576853,20.88452
2.129944,20.40641
1.901891,20.50076
1.391406,20.48787
0.7458521,21.35934
0.9516044,21.22629
1.213777,21.14988
1.73594,21.31697
0.8168299,21.04643
1.327924,20.97681
0.2135095,21.46766
1.53001,21.4313
1.306994,21.03819
1.389165,20.74919
1.338066,20.3107
3.57403,20.74754
1.060908,20.60448
1.211842,20.39512
1.595695,20.26793
1.644765,21.0277
1.153374,20.57762
1.600238,21.21115
1.468683,20.80169
1.035676,20.57326
1.156287,20.99695
1.080578,20.49845
0.3572167,20.29924
0.793924,20.72766
1.891682,21.01144
1.440078,20.23816
1.595914,20.81281
1.75546,20.7385
1.351563,20.48682
1.249945,20.74758
1.042375,20.79537
1.313532,20.95741
1.682642,21.08383
1.352036,21.2139
1.818472,21.00948
1.140283,20.35587
5.745629,21.58038
1.443377,20.91897
1.232762,21.09297
1.12591,20.98318
1.384384,20.3518
0.605859,21.35298
0.8843247,20.2414
1.251847,20.29013
0.5579383,20.25192
1.926277,20.43484
1.37818,20.94235
0.7810968,21.08488
1.953334,21.03584
1.458489,20.43142
1.073487,20.29099
0.6868452,21.30509
1.076662,21.03994
1.967215,21.02257
0.8013395,21.0097
1.460437,20.66406
1.381564,20.96906
1.528757,20.28985
1.489159,20.77228
1.130541,20.35386
1.691151,20.56757
0.4641413,20.3949
0.8112225,20.86734
0.5639498,20.2723
0.7153945,20.20898
1.800103,20.57915
0.6923918,20.31531
1.511263,21.08416
0.766902,20.97791
0.4195634,20.83168
1.678421,20.97774
0.7119189,20.72547
0.5462613,21.5691
1.377407,20.57708
2.17046,20.36166
1.008601,20.79284
1.897805,21.0842
1.194977,20.022
1.172806,20.18582
1.772444,20.77627
1.740297,21.13273
0.8804491,19.72956
1.031668,20.40087
1.602763,21.15888
0.7425127,19.72947
0.5772461,20.87249
1.063268,21.32677